cve_entidad,desc_entidad,PARMAS,PUEC,PDELHOG,PDELUEC,TDELT,TINCID
1,Aguascalientes,28.09297032,10.87389521,38.15341976,44.18896427,3.070151362,39912.1023
2,Baja California,28.66888931,62.30247311,39.46280895,41.02105019,2.326533918,43921.17039
3,Baja California Sur,24.17912959,14.47086708,26.76168753,36.70474316,2.992247542,25689.63595
4,Campeche,29.97300598,27.84748972,28.81971038,46.13112885,2.554031318,28283.42337
5,Coahuila de Zaragoza,31.06261464,41.98284203,24.85981286,21.90402788,1.788080876,25298.6694
6,Colima,18.25776762,35.05821418,26.64090787,32.2288092,2.291346521,27074.46788
7,Chiapas,33.32031356,34.03934939,20.10813301,30.46523079,2.011170283,20464.0803
8,Chihuahua,31.8501777,32.17486691,28.48103389,31.95899856,3.54248145,28857.43273
9,Ciudad de México,49.05464223,31.41834831,52.79037572,40.04165156,2.920737738,68954.30883
10,Durango,23.06255635,48.13710992,22.48764836,28.64082321,2.024169163,22565.89655
11,Guanajuato,36.38318393,24.10986836,34.52055902,33.46968758,2.516931738,29231.16662
12,Guerrero,32.0651187,30.46816295,37.22622354,35.35832013,3.376368236,45005.89217
13,Hidalgo,27.53246329,21.59762036,23.58711342,27.05268756,2.757082216,22134.5884
14,Jalisco,31.13623621,64.96354457,38.433127,32.04396252,2.080047631,43022.89685
15,México,63.49859846,63.92450949,57.0886224,36.20918236,1.943089223,65381.23352
16,Michoacán de Ocampo,30.44398764,26.43577063,22.94298223,41.47473244,3.301233953,22624.45066
17,Morelos,40.49634349,63.16495078,38.91394012,32.56397053,2.994799559,48527.76665
18,Nayarit,10.07625681,10.61677613,29.1713421,29.71230631,2.370417782,33105.09319
19,Nuevo León,34.84421661,57.59055963,34.93652063,29.17173075,2.34823402,32407.4657
20,Oaxaca,34.18229161,52.74577625,22.23322374,28.72203583,2.082395753,22151.53198
21,Puebla,38.30805191,80.67191762,39.38847721,38.07931074,2.358619844,42343.132
22,Querétaro,23.31958735,34.04168926,34.13360192,34.07510107,2.441452233,35395.10276
23,Quintana Roo,31.75795856,49.26615819,32.02122989,38.88618322,2.262998882,33268.88996
24,San Luis Potosí,24.78383198,19.9412423,28.91549657,37.24796029,2.098893444,31673.32805
25,Sinaloa,41.14255362,44.81390087,28.38743549,24.1842086,2.089230868,28747.63466
26,Sonora,45.01200851,40.83191201,36.91886404,43.17912499,2.159115575,39758.82678
27,Tabasco,55.95823337,74.95605182,40.66361874,32.90647627,2.039903773,45603.70525
28,Tamaulipas,35.76444529,48.33263714,21.45123239,23.85712407,1.748735208,23705.86127
29,Tlaxcala,26.41898926,41.56741472,35.76959632,32.39896914,2.129566726,33847.21937
30,Veracruz de Ignacio de la Llave,34.65960027,68.96951885,20.24588933,26.77696574,3.108982278,18299.67505
31,Yucatán,20.29424726,9.216409559,26.68821466,22.42690141,1.769069828,24097.68939
32,Zacatecas,16.86395994,36.3984114,29.95554891,35.19087256,2.034482306,34642.11996
