"GRAPROES_NUM","PER_VPH_INTER"
7.9,36.3636363636364
8.56,71.4285714285714
4,66.6666666666667
9.15,50
12.36,75
9.05,85.7142857142857
9.91,100
10.45,71.4285714285714
7.17,46.1538461538462
7.6,60
9.1,90
9.58,68.4210526315789
9.09,37.5
10.25,87.5
11,60
7.17,75
8.62,57.1428571428571
6.53,50
10.25,72.7272727272727
10.11,38.4615384615385
7.44,44.4444444444444
13.71,100
11.13,87.5
11.13,75
9.96,75
11.5,75
12.59,100
10.86,100
10,76.9230769230769
10.38,80
11.47,83.3333333333333
13.9,100
10.08,86.6666666666667
10.95,100
12.28,83.3333333333333
10.2,75
14.33,100
12.38,80
11.17,66.6666666666667
12.3,83.3333333333333
10.65,88.8888888888889
13.04,77.7777777777778
10.45,66.6666666666667
8.97,72.7272727272727
11.43,63.6363636363636
11.53,75
11.36,53.8461538461538
12.54,70
11.83,66.6666666666667
13.25,100
11.72,75
12.91,75
10.07,50
12.42,80
12.12,62.5
13,88.8888888888889
9.9,100
9.5,100
11.86,75
12.82,72.7272727272727
12.63,72.7272727272727
12.19,75
13.65,80
8.04,50
8.15,70.8333333333333
8.11,50
9.15,57.1428571428571
9.16,47.8260869565217
9.7,36.8421052631579
12.35,100
10.7,77.2727272727273
7.19,12
8.68,62.5
12.49,38.8888888888889
9.88,81.8181818181818
10.59,70
12.11,75
8.47,66.6666666666667
12.73,100
11.6,100
9.11,70
9.46,66.6666666666667
11.93,90.9090909090909
12.03,61.5384615384615
12.43,100
9.73,66.6666666666667
10.76,62.5
11.13,76.9230769230769
9.21,84.6153846153846
8.9,50
8,60.6060606060606
8.85,61.5384615384615
13,92.3076923076923
9.83,63.6363636363636
12.61,100
9.33,60
11.58,78.9473684210526
13.22,90.9090909090909
10.91,100
11.73,100
10.3,70
12.73,93.75
13.22,87.5
9.29,100
12.6,100
12.73,100
12.41,89.5833333333333
10.86,100
12.8,87.5
9,100
10.81,82.7586206896552
12.45,97.5
13.9,100
10.6,82.3529411764706
12.29,87.5
12.37,81.0810810810811
10.37,71.4285714285714
13,87.5
11.51,87.5
11.59,92.3076923076923
12.63,95.4545454545455
14.46,91.6666666666667
12.41,100
11.15,86.6666666666667
10.89,75
12.66,100
12.44,100
11.2,88.2352941176471
11.54,90
13.31,82.3529411764706
12.02,83.3333333333333
13.08,100
12.25,62.5
10,75
9.39,69.2307692307692
10.69,50
7.8,30
8.55,32.7868852459016
7.7,0
8.24,35
9.58,61.5384615384615
13.44,80
7.56,62.5
9.75,75
9.05,37.5
8.23,60
8.18,57.8947368421053
9.89,77.7777777777778
9.94,69.2307692307692
9.04,60
10.12,100
9.5,50
8.22,77.7777777777778
9.09,42.8571428571429
8.02,60
7.53,64.7058823529412
7.44,54.1666666666667
7.52,66.6666666666667
7.18,58.3333333333333
8.1,80
4.57,0
7.61,54.5454545454545
6.74,75
8.3,71.4285714285714
7.67,38.4615384615385
9.36,68.75
8.7,60
9.6,75
9.12,50
8.75,31.25
7.9,52.9411764705882
10.77,50
10.62,80
8.5,26.6666666666667
7.86,46.6666666666667
9.63,60
8.49,41.6666666666667
7.96,54.5454545454545
9.17,72
8.52,46.6666666666667
9.06,88.8888888888889
7.46,23.0769230769231
9.16,66.6666666666667
8.68,57.1428571428571
9.48,66.6666666666667
7.07,65
7.31,76.4705882352941
9.3,33.3333333333333
8.57,71.4285714285714
10.79,52.9411764705882
7.92,71.4285714285714
7.74,45
10.38,100
11.41,100
9.23,50
7.21,35.2941176470588
8.66,90
8.89,62.5
8.33,43.75
7.89,40
8.72,78.5714285714286
10.59,66.6666666666667
12.07,100
11.43,66.6666666666667
8.89,61.5384615384615
9.43,75
10.11,83.3333333333333
9.68,70
9.46,50
13.3,80
9.41,61.5384615384615
9.13,57.1428571428571
11.71,87.5
11.82,100
7.82,44.4444444444444
9.12,55.5555555555556
9,83.3333333333333
6.57,85.7142857142857
9.88,82.3529411764706
11,72.7272727272727
11.44,62.5
10.87,70
9.15,30
8.27,60
9.05,87.5
10.82,64.7058823529412
10.23,66.6666666666667
11.87,85.7142857142857
9,68.4210526315789
11.06,71.4285714285714
10.13,72.7272727272727
7.23,46.6666666666667
8.73,55.5555555555556
8.22,53.8461538461538
7.14,40
8,83.3333333333333
8.79,70.5882352941177
9.2,68.4210526315789
7.15,30
7.6,53.8461538461538
8.43,68.4210526315789
7.88,45.4545454545455
8.07,58.3333333333333
10.75,88.8888888888889
8.2,50
7.59,50
7.12,38.0952380952381
10.92,87.5
9.91,95.4545454545455
8.88,60
7.93,47.3684210526316
6.77,42.8571428571429
9.97,68.4210526315789
10.25,90
12.19,88.2352941176471
7.77,17.8571428571429
10.78,88.8888888888889
10.63,94.4444444444444
9.18,47.0588235294118
12,100
10.5,77.7777777777778
11.03,92.3076923076923
9.91,82.3529411764706
10,85.7142857142857
11.25,85.7142857142857
10.33,88.2352941176471
10,100
9.76,61.9047619047619
9.94,92.8571428571429
8.42,70.5882352941177
11.08,94.1176470588235
10.19,76.9230769230769
10.18,75
11.33,93.3333333333333
9.5,80
12.44,100
9.79,100
8.85,76.9230769230769
12.92,100
8.91,90
11.79,61.5384615384615
7,60
10.05,77.7777777777778
9.31,58.3333333333333
11.58,87.5
13.53,69.2307692307692
9.16,75
11.33,81.8181818181818
9.5,75
9.45,71.4285714285714
9.23,71.4285714285714
8.94,50
9.6,84.6153846153846
9.8,73.5294117647059
12.56,80
10.33,60
9.78,80
9.13,46.1538461538462
9.81,70.8333333333333
11.59,72.7272727272727
12.86,100
12.6,100
11.69,83.3333333333333
7.28,69.2307692307692
8.38,72.7272727272727
8.55,90.9090909090909
8.14,64.7058823529412
8.05,62.8571428571429
9.15,75
7.98,76.4705882352941
9.19,100
8.79,100
8,75
9.23,100
8.55,42.8571428571429
7.57,0
12.82,100
13,100
9.48,37.5
10.62,81.8181818181818
12.53,100
10.28,58.3333333333333
9.79,75
7.92,41.6666666666667
8.23,54.5454545454545
6.71,46.1538461538462
8.75,63.1578947368421
8.31,58.3333333333333
12.2,75
9.88,100
6.57,94.1176470588235
8.22,62.5
7.64,54.5454545454545
7.26,59.0909090909091
9.3,81.25
7.43,87.5
8.67,72.2222222222222
6.91,68.4210526315789
8.42,38.8888888888889
7.18,66.6666666666667
7.51,61.9047619047619
7.11,20
8.38,57.1428571428571
8.14,63.6363636363636
6.71,50
7.55,50
9.41,90
