"GRAPROES_NUM","PER_VPH_INTER"
7.9,"36.3636%"
8.56,"71.4286%"
4,"66.6667%"
9.15,"50.0000%"
12.36,"75.0000%"
9.05,"85.7143%"
9.91,"100.0000%"
10.45,"71.4286%"
7.17,"46.1538%"
7.6,"60.0000%"
9.1,"90.0000%"
9.58,"68.4211%"
9.09,"37.5000%"
10.25,"87.5000%"
11,"60.0000%"
7.17,"75.0000%"
8.62,"57.1429%"
6.53,"50.0000%"
10.25,"72.7273%"
10.11,"38.4615%"
7.44,"44.4444%"
13.71,"100.0000%"
11.13,"87.5000%"
11.13,"75.0000%"
9.96,"75.0000%"
11.5,"75.0000%"
12.59,"100.0000%"
10.86,"100.0000%"
10,"76.9231%"
10.38,"80.0000%"
11.47,"83.3333%"
13.9,"100.0000%"
10.08,"86.6667%"
10.95,"100.0000%"
12.28,"83.3333%"
10.2,"75.0000%"
14.33,"100.0000%"
12.38,"80.0000%"
11.17,"66.6667%"
12.3,"83.3333%"
10.65,"88.8889%"
13.04,"77.7778%"
10.45,"66.6667%"
8.97,"72.7273%"
11.43,"63.6364%"
11.53,"75.0000%"
11.36,"53.8462%"
12.54,"70.0000%"
11.83,"66.6667%"
13.25,"100.0000%"
11.72,"75.0000%"
12.91,"75.0000%"
10.07,"50.0000%"
12.42,"80.0000%"
12.12,"62.5000%"
13,"88.8889%"
9.9,"100.0000%"
9.5,"100.0000%"
11.86,"75.0000%"
12.82,"72.7273%"
12.63,"72.7273%"
12.19,"75.0000%"
13.65,"80.0000%"
8.04,"50.0000%"
8.15,"70.8333%"
8.11,"50.0000%"
9.15,"57.1429%"
9.16,"47.8261%"
9.7,"36.8421%"
12.35,"100.0000%"
10.7,"77.2727%"
7.19,"12.0000%"
8.68,"62.5000%"
12.49,"38.8889%"
9.88,"81.8182%"
10.59,"70.0000%"
12.11,"75.0000%"
8.47,"66.6667%"
12.73,"100.0000%"
11.6,"100.0000%"
9.11,"70.0000%"
9.46,"66.6667%"
11.93,"90.9091%"
12.03,"61.5385%"
12.43,"100.0000%"
9.73,"66.6667%"
10.76,"62.5000%"
11.13,"76.9231%"
9.21,"84.6154%"
8.9,"50.0000%"
8,"60.6061%"
8.85,"61.5385%"
13,"92.3077%"
9.83,"63.6364%"
12.61,"100.0000%"
9.33,"60.0000%"
11.58,"78.9474%"
13.22,"90.9091%"
10.91,"100.0000%"
11.73,"100.0000%"
10.3,"70.0000%"
12.73,"93.7500%"
13.22,"87.5000%"
9.29,"100.0000%"
12.6,"100.0000%"
12.73,"100.0000%"
12.41,"89.5833%"
10.86,"100.0000%"
12.8,"87.5000%"
9,"100.0000%"
10.81,"82.7586%"
12.45,"97.5000%"
13.9,"100.0000%"
10.6,"82.3529%"
12.29,"87.5000%"
12.37,"81.0811%"
10.37,"71.4286%"
13,"87.5000%"
11.51,"87.5000%"
11.59,"92.3077%"
12.63,"95.4545%"
14.46,"91.6667%"
12.41,"100.0000%"
11.15,"86.6667%"
10.89,"75.0000%"
12.66,"100.0000%"
12.44,"100.0000%"
11.2,"88.2353%"
11.54,"90.0000%"
13.31,"82.3529%"
12.02,"83.3333%"
13.08,"100.0000%"
12.25,"62.5000%"
10,"75.0000%"
9.39,"69.2308%"
10.69,"50.0000%"
7.8,"30.0000%"
8.55,"32.7869%"
7.7,"0.0000%"
8.24,"35.0000%"
9.58,"61.5385%"
13.44,"80.0000%"
7.56,"62.5000%"
9.75,"75.0000%"
9.05,"37.5000%"
8.23,"60.0000%"
8.18,"57.8947%"
9.89,"77.7778%"
9.94,"69.2308%"
9.04,"60.0000%"
10.12,"100.0000%"
9.5,"50.0000%"
8.22,"77.7778%"
9.09,"42.8571%"
8.02,"60.0000%"
7.53,"64.7059%"
7.44,"54.1667%"
7.52,"66.6667%"
7.18,"58.3333%"
8.1,"80.0000%"
4.57,"0.0000%"
7.61,"54.5455%"
6.74,"75.0000%"
8.3,"71.4286%"
7.67,"38.4615%"
9.36,"68.7500%"
8.7,"60.0000%"
9.6,"75.0000%"
9.12,"50.0000%"
8.75,"31.2500%"
7.9,"52.9412%"
10.77,"50.0000%"
10.62,"80.0000%"
8.5,"26.6667%"
7.86,"46.6667%"
9.63,"60.0000%"
8.49,"41.6667%"
7.96,"54.5455%"
9.17,"72.0000%"
8.52,"46.6667%"
9.06,"88.8889%"
7.46,"23.0769%"
9.16,"66.6667%"
8.68,"57.1429%"
9.48,"66.6667%"
7.07,"65.0000%"
7.31,"76.4706%"
9.3,"33.3333%"
8.57,"71.4286%"
10.79,"52.9412%"
7.92,"71.4286%"
7.74,"45.0000%"
10.38,"100.0000%"
11.41,"100.0000%"
9.23,"50.0000%"
7.21,"35.2941%"
8.66,"90.0000%"
8.89,"62.5000%"
8.33,"43.7500%"
7.89,"40.0000%"
8.72,"78.5714%"
10.59,"66.6667%"
12.07,"100.0000%"
11.43,"66.6667%"
8.89,"61.5385%"
9.43,"75.0000%"
10.11,"83.3333%"
9.68,"70.0000%"
9.46,"50.0000%"
